"","token","skills_count","cuny_count","pct_skills_snippets","pct_cuny_courses"
"524","etc strong skills",1,0,0.01,0
"525","strong skills",1,0,0.01,0
"526","strong skills junior",1,0,0.01,0
"527","skills junior",1,0,0.01,0
"528","skills junior data",1,0,0.01,0
"529","junior",1,0,0.01,0
"530","junior data",1,0,0.01,0
"531","junior data scientists",1,0,0.01,0
"532","data scientists good",1,0,0.01,0
"533","scientists good",1,0,0.01,0
"534","scientists good statistical",1,0,0.01,0
"535","good",4,0,0.04,0
"536","good statistical",1,0,0.01,0
"537","good statistical skills",1,0,0.01,0
"538","statistical skills",1,0,0.01,0
"539","statistical skills senior",1,0,0.01,0
"540","skills senior",2,0,0.02,0
"541","skills senior data",2,0,0.02,0
"542","senior",2,0,0.02,0
"543","senior data",2,0,0.02,0
"544","senior data scientists",1,0,0.01,0
"545","data scientists excel",1,0,0.01,0
"546","scientists excel",1,0,0.01,0
"547","scientists excel putting",1,0,0.01,0
"548","excel",1,0,0.01,0
"549","excel putting",1,0,0.01,0
"550","excel putting models",1,0,0.01,0
"551","putting",1,0,0.01,0
"552","putting models",1,0,0.01,0
"553","putting models production",1,0,0.01,0
"554","models production",1,0,0.01,0
"555","models production principal",1,0,0.01,0
"556","production",1,0,0.01,0
"557","production principal",1,0,0.01,0
"558","production principal data",1,0,0.01,0
"559","principal",1,0,0.01,0
"560","principal data",1,0,0.01,0
"561","principal data scientists",1,0,0.01,0
"562","data scientists know",2,0,0.02,0
"563","scientists know",2,0,0.02,0
"564","scientists know create",1,0,0.01,0
"565","know create",1,0,0.01,0
"566","know create say",1,0,0.01,0
"567","create",1,2,0.01,0.105263157894737
"568","create say",1,0,0.01,0
"569","create say apart",1,0,0.01,0
"570","say",1,0,0.01,0
"571","say apart",1,0,0.01,0
"572","say apart able",1,0,0.01,0
"573","apart",1,0,0.01,0
"574","apart able",1,0,0.01,0
"575","apart able code",1,0,0.01,0
"576","able",2,0,0.02,0
"577","able code",1,0,0.01,0
"578","able code data",1,0,0.01,0
"579","code",2,0,0.02,0
"580","code data",1,0,0.01,0
"581","code data scientist",1,0,0.01,0
"582","data scientist must",2,0,0.02,0
"583","scientist must",2,0,0.02,0
"584","scientist must strong",1,0,0.01,0
"585","must",3,0,0.03,0
"586","must strong",1,0,0.01,0
"587","must strong knowledge",1,0,0.01,0
"588","strong knowledge",1,0,0.01,0
"589","strong knowledge sql",1,0,0.01,0
"590","knowledge sql",1,0,0.01,0
"591","knowledge sql derive",1,0,0.01,0
"592","sql derive",1,0,0.01,0
"593","sql derive necessary",1,0,0.01,0
"594","derive",1,0,0.01,0
"595","derive necessary",1,0,0.01,0
"596","derive necessary meaningful",1,0,0.01,0
"597","necessary",3,0,0.03,0
"598","necessary meaningful",1,0,0.01,0
"599","necessary meaningful want",1,0,0.01,0
"600","meaningful",1,0,0.01,0
"601","meaningful want",1,0,0.01,0
"602","meaningful want read",1,0,0.01,0
"603","want read",1,0,0.01,0
"604","want read data",1,0,0.01,0
"605","read",2,0,0.02,0
"606","read data",1,0,0.01,0
"607","read data science",1,0,0.01,0
"608","data science engineering",1,0,0.01,0
"609","science engineering",1,0,0.01,0
"610","science engineering article",1,0,0.01,0
"611","engineering",5,0,0.05,0
"612","engineering article",1,0,0.01,0
"613","engineering article follow",1,0,0.01,0
"614","article follow",1,0,0.01,0
"615","article follow data",1,0,0.01,0
"616","follow",1,0,0.01,0
"617","follow data",1,0,0.01,0
"618","follow data scientists",1,0,0.01,0
"619","data scientists must",1,0,0.01,0
"620","scientists must",1,0,0.01,0
"621","scientists must good",1,0,0.01,0
"622","must good",1,0,0.01,0
"623","must good communication",1,0,0.01,0
"624","good communication",1,0,0.01,0
"625","good communication skills",1,0,0.01,0
"626","communication skills present",1,0,0.01,0
"627","skills present",1,0,0.01,0
"628","skills present data",1,0,0.01,0
"629","present",1,0,0.01,0
"630","present data",1,0,0.01,0
"631","present data propose",1,0,0.01,0
"632","data propose",1,0,0.01,0
"633","data propose demonstrate",1,0,0.01,0
"634","propose",1,0,0.01,0
"635","propose demonstrate",1,0,0.01,0
"636","propose demonstrate excellent",1,0,0.01,0
"637","demonstrate",1,0,0.01,0
"638","demonstrate excellent",1,0,0.01,0
"639","demonstrate excellent communication",1,0,0.01,0
"640","excellent",3,0,0.03,0
"641","excellent communication",1,0,0.01,0
"642","excellent communication collaboration",1,0,0.01,0
"643","communication collaboration",1,0,0.01,0
"644","communication collaboration skills",1,0,0.01,0
"645","collaboration",1,1,0.01,0.0526315789473684
"646","collaboration skills",1,0,0.01,0
"647","collaboration skills can",1,0,0.01,0
"648","skills can",1,0,0.01,0
"649","skills can explain",1,0,0.01,0
"650","can",6,3,0.06,0.157894736842105
"651","can explain",1,0,0.01,0
"652","can explain work",1,0,0.01,0
"653","explain",1,1,0.01,0.0526315789473684
"654","explain work",1,0,0.01,0
"655","explain work technical",1,0,0.01,0
"656","work",4,2,0.04,0.105263157894737
"657","work technical",1,0,0.01,0
"658","work technical non",1,0,0.01,0
"659","technical non",2,0,0.02,0
"660","technical non technical",2,0,0.02,0
"661","non",2,4,0.02,0.210526315789474
"662","non technical",2,0,0.02,0
"663","non technical audiences",1,0,0.01,0
"664","technical audiences",1,0,0.01,0
"665","technical audiences drew",1,0,0.01,0
"666","audiences",1,0,0.01,0
"667","audiences drew",1,0,0.01,0
"668","audiences drew conway's",1,0,0.01,0
"669","drew",1,0,0.01,0
"670","drew conway's",1,0,0.01,0
"671","drew conway's visualization",1,0,0.01,0
"672","conway's",1,0,0.01,0
"673","conway's visualization",1,0,0.01,0
"674","conway's visualization data",1,0,0.01,0
"675","visualization data",1,0,0.01,0
"676","visualization data science",1,0,0.01,0
"677","data science skill",4,0,0.04,0
"678","science skill",4,0,0.04,0
